,rmse,mean,median,std,min,max,sse
single_rpe_translation,0.029432194309008,0.006485960419278,0.003915871447868,0.028708646420247,0.000289256001783,0.793636093687704,0.750176017556193
multi0_rpe_translation,0.007523713770606,0.005824675618747,0.005105394111062,0.004762291763256,0.000623728608393,0.123272100570837,0.10166485894801
multi1_rpe_translation,0.00934297223396,0.006344930338299,0.005307259239686,0.006858060160619,0.000295274448607,0.118461289573408,0.160091932721768
multi2_rpe_translation,0.008461815184943,0.006639588374484,0.005697392528158,0.005245777582166,0.000316829607202,0.085423278628012,0.091507760134437
