,rmse,mean,median,std,min,max,sse
single_ape,0.069981401579836,0.063920865866744,0.057445061318925,0.028487180870067,0.033017433245703,0.651735334391678,4.24604282365684
multi0_ape,0.01940856520158,0.013219640149993,0.011050411505772,0.014210331364492,0.000666929631287,0.184866410228231,0.676916248521599
multi1_ape,0.034881249133327,0.030476026680808,0.026625652799906,0.016968009277812,0.00146153346748,0.176169686009383,2.23264732792078
multi2_ape,0.026173519803248,0.024112298538268,0.023366499111976,0.010180874132041,0.002000407942439,0.095171965275502,0.876182964641582
