,rmse,mean,median,std,min,max,sse
single_rpe_rotational,0.259669995925851,0.103963212880266,0.054478206388347,0.237949904710516,0.006316922206674,4.37804240272646,58.3930868750577
multi0_rpe_rotational,0.224878221865696,0.193182103866041,0.176683789225909,0.115112507640861,0.006681769298419,1.59608042401369,90.8241055463812
multi1_rpe_rotational,0.238833843720132,0.193831658450445,0.167298872313806,0.139538142056151,0.010948127706362,2.0013035934391,104.614303397847
multi2_rpe_rotational,0.222949754899973,0.179563506509503,0.153155863254361,0.132149689140649,0.004133245881652,1.2007647275688,63.5250261223266
